-7.57	0.005
-7.0475	0.0115
-6.901	0.008
-5.8975	0.0125
-3.823	0.018
-3.335	0.02
-2.608	0.0195
-1.6195	0.0225
-1.1895	0.0215
-0.316	0.03
0.5375	0.0375
1.5975	0.046
1.4345	0.034
1.7275	0.039
2.165	0.0485
1.3455	0.0325
1.017	0.0315
1.189	0.0345
1.635	0.038
1.7615	0.0335
1.545	0.037
2.1475	0.035
1.9465	0.048
1.798	0.037
2.0335	0.0415
2.6565	0.04
4.268	0.0585
4.3535	0.059
4.3735	0.0535
3.82	0.051
4.43	0.0435
4.7565	0.0525
4.548	0.0505
5.0285	0.055
5.558	0.055
4.6025	0.0495
5.3825	0.063
4.447	0.0525
5.4205	0.069
5.774	0.0765
6.55	0.0715
6.5155	0.0765
6.374	0.0625
7.0205	0.0665
6.1645	0.0735
5.5565	0.059
5.323	0.061
5.985	0.0645
6.064	0.0715
6.017	0.0695
6.5425	0.076
5.974	0.064
5.3935	0.063
5.4635	0.066
5.338	0.0655
2.146	0.0365
1.795	0.039
1.53	0.0315
5.8265	0.0705
5.586	0.073
5.5	0.074
5.2875	0.0605
5.4685	0.06
5.0465	0.0635
5.3315	0.0605
4.818	0.0505
4.97	0.061
4.653	0.051
5.139	0.057
5.1225	0.056
4.8795	0.0475
5.2595	0.058
5.074	0.0655
5.4805	0.0545
5.5165	0.0605
5.83	0.0705
5.897	0.0635
6.0455	0.0545
6.0075	0.063
5.9805	0.069
6.784	0.0735
5.977	0.059
6.5815	0.068
7.548	0.0785
6.8205	0.0675
6.8155	0.066
6.8675	0.0645
7.056	0.0585
6.9775	0.0735
6.6185	0.072
6.678	0.0845
6.385	0.075
6.7635	0.07
6.2465	0.0675
6.345	0.071
6.3465	0.0675
6.019	0.051
6.2505	0.07
6.357	0.065
6.2115	0.069
6.5655	0.081
6.353	0.064
5.9525	0.0595
5.973	0.0675
5.7325	0.063
5.935	0.066
5.087	0.0555
4.854	0.0515
4.76	0.0585
5.578	0.065
5.9045	0.062
5.8515	0.062
6.07	0.063
5.8865	0.059
5.791	0.054
5.5715	0.048
6.438	0.063
6.283	0.0635
5.999	0.068
6.251	0.065
6.14	0.0655
5.9205	0.0745
5.71	0.059
5.866	0.066
6.253	0.0605
5.0445	0.049
5.9175	0.0545
5.098	0.058
6.6295	0.073
6.519	0.071
7.1865	0.0815
7.7835	0.082
7.282	0.076
7.69	0.0735
7.264	0.081
7.978	0.0855
7.8555	0.077
8.1325	0.0875
8.281	0.0835
8.9435	0.072
8.737	0.091
8.7495	0.085
8.6095	0.084
8.7295	0.077
8.1715	0.077
8.7535	0.082
8.1615	0.09
8.2015	0.0865
7.845	0.084
7.392	0.077
6.989	0.0695
7.2165	0.07
7.803	0.073
7.7565	0.082
8.019	0.0805
8.048	0.0745
7.9215	0.0675
9.101	0.0965
9.084	0.0875
8.678	0.0745
8.8235	0.091
8.605	0.086
8.947	0.094
8.4035	0.085
8.7095	0.0885
9.254	0.0935
9.932	0.1035
10.555	0.1075
8.82	0.0835
8.6495	0.079
8.241	0.0835
8.4735	0.0885
8.0975	0.0725
8.3125	0.08
8.0225	0.074
8.7095	0.0935
7.1955	0.08
6.9665	0.0705
6.9925	0.0775
6.63	0.0775
6.942	0.07
6.7445	0.077
6.367	0.0655
6.5825	0.07
5.8165	0.059
7.1465	0.079
6.6675	0.068
7.0245	0.074
6.7615	0.0725
6.94	0.0675
8.859	0.0935
9.203	0.1025
10.9345	0.1155
12.181	0.1275
12.722	0.1335
12.5835	0.1235
12.6275	0.1215
13.3655	0.129
13.3245	0.133
13.44	0.1325
13.9965	0.1365
13.133	0.132
13.043	0.118
12.667	0.127
12.8365	0.1285
12.714	0.12
12.203	0.1205
11.9775	0.1025
12.1345	0.1105
11.6235	0.11
11.4835	0.1095
10.8455	0.087
10.951	0.103
11.0655	0.094
11.092	0.0985
11.291	0.1035
11.134	0.095
11.1045	0.114
10.8255	0.107
10.251	0.0985
9.96	0.0955
9.8845	0.099
10.469	0.0995
10.0415	0.0895
9.773	0.08
9.2995	0.0745
9.7085	0.075
9.7635	0.0795
10.4215	0.09
10.731	0.0865
10.3515	0.0895
10.206	0.095
11.4925	0.116
11.312	0.1065
11.715	0.1205
11.243	0.118
11.4195	0.095
12.6205	0.1115
12.7095	0.111
13.455	0.1255
13.3955	0.127
13.586	0.1325
14.0105	0.1285
13.85	0.1245
13.9335	0.1375
14.1805	0.1435
14.6885	0.14
15.0125	0.142
14.5375	0.1425
14.6355	0.1425
14.679	0.1405
14.755	0.141
14.872	0.148
14.1825	0.1385
13.9495	0.1355
14.0245	0.142
13.946	0.145
13.946	0.135
13.3035	0.133
12.9485	0.119
13.359	0.122
13.5325	0.1445
13.1725	0.1245
12.7325	0.1235
13.013	0.1245
12.8115	0.1195
12.5855	0.122
13.062	0.132
12.1915	0.126
12.149	0.121
12.2925	0.114
12.316	0.11
11.978	0.112
12.5465	0.1165
12.461	0.116
11.824	0.1045
11.9425	0.1115
11.479	0.103
11.8015	0.113
11.9385	0.113
11.807	0.115
12.3295	0.1135
10.942	0.111
11.914	0.113
11.4835	0.118
12.3345	0.123
11.872	0.117
11.727	0.107
11.8785	0.112
12.0625	0.1175
12.1265	0.1095
12.123	0.1205
12.045	0.122
11.8435	0.1215
11.504	0.1085
12.1715	0.1245
12.6615	0.126
13.0325	0.141
12.835	0.131
13.0655	0.1305
13.9815	0.1475
14.479	0.1315
14.0505	0.115
13.738	0.129
13.991	0.1305
13.424	0.1275
14.101	0.131
13.48	0.128
13.797	0.1235
13.0685	0.114
13.2215	0.1275
12.835	0.117
12.942	0.1155
12.439	0.1115
12.4455	0.107
